Drug 1,Drug 2,Interaction Description
Salicylic acid,Fleroxacin,Salicylic acid may increase the neuroexcitatory activities of Fleroxacin.
Hydrocortisone,Cinoxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Cinoxacin.
Hydrocortisone,Etacrynic acid,Hydrocortisone may increase the hypokalemic activities of Etacrynic acid.
Ibuprofen,Furosemide,Ibuprofen may decrease the diuretic activities of Furosemide.
Esomeprazole,Clodronic acid,The therapeutic efficacy of Clodronic acid can be decreased when used in combination with Esomeprazole.
Celecoxib,Fluticasone propionate,The risk or severity of adverse effects can be increased when Celecoxib is combined with Fluticasone propionate.
Epirizole,Fluticasone propionate,The risk or severity of adverse effects can be increased when Epirizole is combined with Fluticasone propionate.
Flupentixol,Fluticasone propionate,The risk or severity of adverse effects can be increased when Flupentixol is combined with Fluticasone propionate.
Calcium carbonate,Prasterone,The bioavailability of Prasterone can be decreased when combined with Calcium carbonate.
Salicylic acid,Prednicarbate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Prednicarbate.
Masoprocol,Hydrocortisone,The risk or severity of adverse effects can be increased when Masoprocol is combined with Hydrocortisone.
Icatibant,Hydrocortisone,The risk or severity of adverse effects can be increased when Icatibant is combined with Hydrocortisone.
Meloxicam,Hydrocortisone,The risk or severity of adverse effects can be increased when Meloxicam is combined with Hydrocortisone.
Salicylamide,Hydrocortisone,The risk or severity of adverse effects can be increased when Salicylamide is combined with Hydrocortisone.
Ubidecarenone,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Ubidecarenone.
Salicylic acid,Pirfenidone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Pirfenidone.
Methyl salicylate,Fluprednidene,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Fluprednidene.
Paclitaxel,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Paclitaxel.
Axitinib,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Axitinib.
Palbociclib,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Palbociclib.
Piroxicam,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Piroxicam.
Ondansetron,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Ondansetron.
Meperidine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Meperidine.
Sufentanil,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Sufentanil.
Ketobemidone,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Ketobemidone.
Tasosartan,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Tasosartan.
Guanabenz,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Guanabenz.
Amoxapine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Amoxapine.
Valbenazine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Valbenazine.
Aprindine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Aprindine.
Rolapitant,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Rolapitant.
Etonogestrel,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Etonogestrel.
Capsaicin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Capsaicin.
Salicylic acid,Delavirdine,The metabolism of Delavirdine can be decreased when combined with Salicylic acid.
Bupranolol,Nicotine,The risk or severity of adverse effects can be increased when Bupranolol is combined with Nicotine.
Enflurane,Nicotine,The metabolism of Nicotine can be decreased when combined with Enflurane.
Fluticasone propionate,Lopinavir,The serum concentration of Lopinavir can be increased when it is combined with Fluticasone propionate.
Omeprazole,Lopinavir,The metabolism of Lopinavir can be decreased when combined with Omeprazole.
Caffeine,Indinavir,The metabolism of Indinavir can be decreased when combined with Caffeine.
Esomeprazole,Telaprevir,The metabolism of Telaprevir can be decreased when combined with Esomeprazole.
Cortisone acetate,Fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Cortisone acetate.
Loratadine,Fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Loratadine.
Fluticasone propionate,Telithromycin,The serum concentration of Telithromycin can be increased when it is combined with Fluticasone propionate.
Magnesium hydroxide,Itraconazole,The serum concentration of Itraconazole can be decreased when it is combined with Magnesium hydroxide.
Acetaminophen,Fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Acetaminophen.
Caffeine,Luliconazole,The serum concentration of Luliconazole can be increased when it is combined with Caffeine.
Dapagliflozin,Salicylic acid,Dapagliflozin may increase the hypoglycemic activities of Salicylic acid.
Trolamine salicylate,Salicylic acid,Trolamine salicylate may increase the anticoagulant activities of Salicylic acid.
Pentaerythritol tetranitrate,Salicylic acid,Pentaerythritol tetranitrate may increase the anticoagulant activities of Salicylic acid.
Etravirine,Salicylic acid,The serum concentration of Salicylic acid can be increased when it is combined with Etravirine.
Ibuprofen,Choline magnesium trisalicylate,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Choline magnesium trisalicylate.
Enalapril,Ibuprofen,The risk or severity of adverse effects can be increased when Enalapril is combined with Ibuprofen.
Lidocaine,Cocaine,The metabolism of Cocaine can be decreased when combined with Lidocaine.
Famotidine,Tranylcypromine,The metabolism of Tranylcypromine can be decreased when combined with Famotidine.
Omeprazole,Atorvastatin,The risk or severity of adverse effects can be increased when Omeprazole is combined with Atorvastatin.
