id,set_id,brand_name,generic_name,manufacturer_name,product_ndc,route,substance_name,active_ingredient,purpose,indications_and_usage,warnings,dosage_and_administration,inactive_ingredient,effective_time,version,brand_name
2ad4b484-e52f-52a5-e063-6394a90a8751,f44c0be7-9565-0068-e053-2a95a90a9705,Dry It Out Acne Spot Treatment,SALICYLIC ACID,"Pacifica Beauty, LLC",61197-122,TOPICAL,SALICYLIC ACID,Active ingredient Purpose Salicylic Acid 2.0% Acne Medication,Use For the treatment of acne.,"When using this product: skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time.","Warnings For external use only. Flammable: Keep away from fire or flame. When using this product: skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time.","Directions Clean the skin thoroughly before applying this product. Cover the entire affected area with a thin layer one to three times daily. Because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor. If bothersome dryness or peeling occurs, reduce application to once a day or every other day. Sensitivity test for a new user. Apply product sparingly to one or two small affected areas during the first 3 days. If no discomfort occurs, follow the directions stated above.","Inactive ingredients: Aqua, Alcohol Denat., Glycerin, Hamamelis Virginiana (Witch Hazel) Extract, Aloe Barbadensis Leaf Juice*, Hydroxyethylcellulose, Niacinamide, Cucumis Sativus (Cucumber) Fruit Extract*, Spiraea Ulmaria (Meadowsweet) Extract, Salvia Officinalis (Sage) Oil, Mentha Piperita (Peppermint) Oil, Lens Esculenta (Lentil) Fruit Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Camellia Sinensis (White Tea) Leaf Extract*, Arnica Montana Flower Extract*, Dipotassium Glycyrrhizate, Parfum**. *certified organic **our scent blend with natural and/or essential oils",20250103,2,Dry It Out Acne Spot Treatment
2824d670-993e-aba9-e063-6394a90a7b49,deac0759-86b9-6214-e053-2a95a90aa4c4,Rite Aid Wild Berry Antacid Chews,CALCIUM CARBONATE,Rite Aid,11822-0048,ORAL,CALCIUM CARBONATE,Active ingredient (in each chewable tablet) Calcium Carbonate 750 mg,Purpose Antacid,Uses Relieves Heartburn Sour stomach Acid indigestion Upset stomach due to these symptoms,Warnings Do not use if you have ever had an allergic reaction to this product or any of its ingredients.,Directions Adults and children 12 years and older chew and swallow 1 to 2 chewable tablets every 2-4 hours as needed. Do not exceed 5 chewable tablets in 24-hours. Children under 12 years consult a doctor.,"Inactive ingredients: Beeswax, carmine, carnauba wax, citric acid, corn starch corn syrup, dextrin, ethyl acetate, FD&C blue no. 1 aluminum lake, FD&C blue no. 2 aluminum lake, FD&C red no. 40, FD&C red no. 40 aluminum lake, FD&C yellow no. 5 aluminum lake, FD&C yellow no. 6 aluminum lake, gum arabic, hydrogenated coconut oil, maltodextrin, medium chain triglycerides, modified corn starch, natural and artificial flavors, phosphoric acid, pregelatinized corn starch, propylene glycol, purified water, shellac, sodium benzoate, sorbic acid, sorbitol, soy lecithin, soybean oil, sucrose and titanium dioxide.",20241130,3,Rite Aid Wild Berry Antacid Chews
1b0ee5d0-0cf8-5db2-e063-6294a90a71df,1b0f0088-6482-6de7-e063-6294a90aeeb7,Insect sting relief pad 01,SODIUM BICARBONATE,"Cosmuses Cosmetics (Ningbo) Co., Ltd.",82953-019,TOPICAL,SODIUM BICARBONATE,Active Ingredient Sodium bicarbonate (Baking Soda) 5%,Purpose Skin Protectant,"Uses temporary relief of itching and irritation due to insect bites and stings poison ivy, oak or sumac","Warnings For external use only. Do not use over large areas of the body other than as directed When using this product avoid contact with eyes Stop use and ask a doctor if symptoms last for more than 7 days the condiction becomes worse symptoms clear up and then occur again within a few days Keep out of reach of children if swallowed, get medical help or contact a poison control center right away.","Directions adults and children over 2 years of age: apply a small around of directly to the bite, sting or affected area and rub gently re-apply as needed children under 2 years of age: ask a doctor before use","Inactive Ingredients Aqua, Glycerin, Aloe Barbadensis Leaf Extract, Phenoxyethanol, Methylparaben.",20240617,1,Insect sting relief pad 01
326a342c-66bc-f336-e063-6394a90a9c0c,01f41fae-4abb-4b96-ab09-a7d3dfc286cd,TYLENOL Regular Strength,ACETAMINOPHEN,Kenvue Brands LLC,50580-458,ORAL,ACETAMINOPHEN,Active ingredient (in each caplet) Acetaminophen 325 mg,Purpose Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: headache muscular aches backache minor pain of arthritis the common cold toothache premenstrual and menstrual cramps temporarily reduces fever,"Warnings Liver warning This product contains acetaminophen. The maximum daily dose of this product is 10 caplets (3,250 mg) in 24 hours for adults or 5 caplets (1,625 mg) in 24 hours for children. Severe liver damage may occur if adult takes more than 4,000 mg of acetaminophen in 24 hours child takes more than 5 doses in 24 hours, which is the maximum daily amount taken with other drugs containing acetaminophen adult has 3 or more alcoholic drinks every day while using this product Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are allergic to acetaminophen or any of the inactive ingredients in this product Ask a doctor before use if the user has liver disease is a child with pain of arthritis Ask a doctor or pharmacist before use if the user is taking the blood thinning drug warfarin Stop use and ask a doctor if pain gets worse or lasts more than 10 days in adults pain gets worse or lasts more than 5 days in children under 12 years fever gets worse or lasts more than 3 days new symptoms occur redness or swelling is present These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children.","Directions do not take more than directed (see overdose warning ) adults and children 12 years and over take 2 caplets every 4 to 6 hours while symptoms last do not take more than 10 caplets in 24 hours, unless directed by a doctor do not use for more than 10 days unless directed by a doctor children 6 years to under 12 years take 1 caplet every 4 to 6 hours while symptoms last do not take more than 5 caplets in 24 hours do not use for more than 5 days unless directed by a doctor children under 6 years ask a doctor","Inactive ingredients carnauba wax, corn starch, FD&C red no. 40 aluminum lake, hypromellose, magnesium stearate, powdered cellulose, pregelatinized starch, propylene glycol, shellac, sodium starch glycolate, titanium dioxide",20250410,9,TYLENOL Regular Strength
15704611-83f8-4ccf-890b-7e67486c9a04,17cc12c7-5af8-413f-b205-31ac150583e2,CoTZ Baby,ZINC OXIDE,"Fallien Cosmeceuticals, LTD",58892-618,TOPICAL,ZINC OXIDE,Active Ingredients: Zinc Oxide 20%,Purpose: Sunscreen,"Uses: Helps prevent sunburn. If used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun.","Warnings: For external use only. Do not use on damaged or broken skin. Stop use and ask a doctor if rash occurs. When using this product, keep out of eyes. Rinse with water to remove. Keep out of the reach of children. If swallowed, get medical help or contact a Poison Control Center right away.","Directions: Apply liberally 15 minutes before sun exposure. Reapply: - After 40 minutes of swimming or sweating - Immediately after towel drying - At least every two hours Children under 6 months: Ask a doctor Sun Protection Measures: Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: Limit time in the sun, especially from 10 a.m.-2 p.m. Wear long-sleeved shirts, pants, hats, and sunglasses","Inactive Ingredients: C12-15 Alkyl Benzoate, Caprylhydroxamic Acid, Caprylyl Glycol, Cetyl PEG/PPG 10/1 Dimethicone, Cyclohexasiloxane, Cyclopentasiloxane, Dimethicone, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethiconol, Disodium EDTA, Glycerin, Hydrogen Dimethicone, Microcrystalline Wax, PEG-10 Dimethicome, PEG-30 Dipoly-hydroxystearate, Polyglyceryl-4 Isostearate, Polyhydroxystearic Acid, Polysorbate 20, Sodium Chloride, Stearyl Dimethicone, Tetrahexydecyl Ascorbate, Tocopheryl Acetate, Triethanolamine, Triethoxycaprylylsilane, Water",20250109,3,CoTZ Baby
26dd439f-d784-6c9b-e063-6394a90a3eff,af64fc2f-c027-4a68-b368-ee06744a2452,Desitin Maximum Strength Diaper Rash,ZINC OXIDE,Kenvue Brands LLC,69968-0061,TOPICAL,ZINC OXIDE,Active ingredient Zinc Oxide 40%,Purpose Skin Protectant,Uses helps treat and prevent diaper rash protects chafed skin due to diaper rash and helps seal out wetness,"Warnings For external use only When using this product do not get into eyes Stop use and ask a doctor if condition worsens symptoms last more than 7 days or clear up and occur again within a few days Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.","Directions change wet and soiled diapers promptly cleanse the diaper area allow to dry apply paste liberally as often as necessary, with each diaper change, especially at bedtime or anytime when exposure to wet diapers may be prolonged","Inactive ingredients petrolatum, cod liver oil, lanolin, talc, glycerin, sorbitan sesquioleate, beeswax, tocopheryl acetate, fragrance",20241115,8,Desitin Maximum Strength Diaper Rash
352e69a7-a1e2-85ad-e063-6394a90ad4d4,a60a6301-60b7-4f31-9ebe-872ccd8e9e76,Ibuprofen,IBUPROFEN,"CHAIN DRUG MARKETING ASSOCIATION, INC.",83324-100,ORAL,IBUPROFEN,Active ingredient (in each caplet) Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug,Purposes Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: headache muscular aches minor pain of arthritis toothache backache the common cold menstrual cramps temporarily reduces fever,"Warnings Allergy alert Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives facial swelling asthma (wheezing) shock skin reddening rash blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning This product contains an NSAID, which may cause severe stomach bleeding. The chances are higher if you are age 60 or older have had stomach ulcers or bleeding problems take a blood thinning (anticoagulant) or steroid drug take other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, or others] have 3 or more alcoholic drinks every day while using this product take more or for a longer time than directed Heart attack and stroke warning NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to ibuprofen or any other pain reliever/fever reducer right before or after heart surgery Ask a doctor before use if you have problems or serious side effects from taking pain relievers or fever reducers the stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you are taking a diuretic Ask a doctor or pharmacist before use if you are taking aspirin for heart attack or stroke, because ibuprofen may decrease this benefit of aspirin under a doctor's care for any serious condition taking any other drug When using this product take with food or milk if stomach upset occurs Stop use and ask a doctor if ■ you experience any of the following signs of stomach bleeding: ■ feel faint ■ vomit blood ■ have bloody or black stools ■ have stomach pain that does not get better ■ you have symptoms of heart problems or stroke: ■ chest pain ■ trouble breathing ■ weakness in one part or side of body ■ slurred speech ■ leg swelling ■ pain gets worse or lasts more than 10 days ■ fever gets worse or lasts more than 3 days ■ redness or swelling is present in the painful area ■ any new symptoms appear If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen at 20 weeks or later in pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)","Directions ■ do not take more than directed ■ the smallest effective dose should be used ■ adults and children 12 years and older: ■ take 1 caplet every 4 to 6 hours while symptoms persist ■ if pain or fever does not respond to 1 caplet, 2 caplets may be used ■ do not exceed 6 caplets in 24 hours, unless directed by a doctor ■ children under 12 years: ask a doctor","Inactive ingredients colloidal silicon dioxide, corn starch, FD&C yellow #6, polyethylene glycol, polyvinyl alcohol, povidone K30, pregelatinized starch, sodium starch glycolate, stearic acid, talc, titanium dioxide",20250515,2,Ibuprofen
b06f5525-9500-4742-afb6-e31939da9dd9,3146cd53-86b8-4c6f-a07f-66cdeb6cc808,benzoyl peroxide,BENZOYL PEROXIDE,Padagis Israel Pharmaceuticals Ltd,45802-280,TOPICAL,BENZOYL PEROXIDE,Active ingredient Benzoyl peroxide 5%,Purpose Acne medication,Use for the treatment of acne,"Warnings For external use only Do not use if you • have very sensitive skin • are sensitive to benzoyl peroxide When using this product • skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. • avoid unnecessary sun exposure and use a sunscreen • avoid contact with the eyes, lips, and mouth • avoid contact with hair and dyed fabrics, which may be bleached by this product • skin irritation may occur, characterized by redness, burning, itching, peeling, or possibly swelling. Irritation may be reduced by using the product less frequently or in a lower concentration. Stop use and ask a doctor if • irritation becomes severe Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away. (1-800-222-1222)","Directions • shake well • Sensitivity Test for a New User. Apply product sparingly to one or two small affected areas during the first 3 days. If no discomfort occurs, follow the directions stated below. • wet area to be cleansed • apply acne wash and gently massage area for 1-2 minutes • rinse thoroughly and pat dry • because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor • if bothersome dryness or peeling occurs, reduce application to once a day or every other day • if going outside, apply sunscreen after using this product. If irritation or sensitivity develops, stop use of both products and ask a doctor.","Inactive ingredients carbomer homopolymer, citric acid*, edetate disodium, glycerin, imidurea, lauryl methacrylate/glycol dimethacrylate crosspolymer, purified water, sodium C14-16 olefin sulfonate, sodium hydroxide *may contain this ingredient",20250212,7,benzoyl peroxide
2e2439ac-a917-8ebb-e063-6294a90aa1f0,2e24391f-4982-efae-e063-6394a90accaa,Sun Defense Minerals (Deep),ZINC OXIDE,Eminence Organic Skin Care,15751-3605,TOPICAL,ZINC OXIDE,Active Ingredient Purpose Zinc Oxide 23.5%......Sunscreen,Purpose: Sunscreen,"Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions), decreases the risk of skin cancer and early skin aging caused by the sun","Warnings For external use only Do not use on damaged or broken skin When using this product keep out of eyes. Rinse with water to remove Stop use and ask a doctor if rash occurs Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.","Directions Before use, shake or tap well Apply liberally 15 minutes before sun exposure Reapply After 40 minutes of swimming or sweating Immediately after towel drying At least every 2 hours Children under 6 months of age: Ask a doctor Sun Protection Measures. Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including: Limit time in the sun, especially from 10 a.m. – 2 p.m. Wear long-sleeved shirts, pants, hats, and sunglasses.","Inactive ingredients Silica, Mica, Butyloctyl Salicylate, Octyldodecanol, Tridecyl Salicylate, Iron Oxides, Mauritia Flexuosa (Buriti) Fruit Oil, Camellia Sinensis (Green Tea) Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Tocopherol (Vitamin E), Phenylpropanol, Corn-Derived Propanediol, Caprylyl Glycol, Hydrogenated Plant-Derived Lecithin.",20250301,1,Sun Defense Minerals (Deep)
2bd3521f-19bd-4f77-9034-9ae287698992,d0ff44ef-d59c-43c9-a381-448fef2cfe22,minoxidil,MINOXIDIL,Publix Super Markets Inc,56062-070,TOPICAL,MINOXIDIL,Active ingredient Minoxidil 2% w/v,Purpose Hair regrowth treatment,Use to regrow hair on the scalp,"Warnings For external use only Flammable: Keep away from fire or flame Do not use if • your degree of hair loss is different than that shown on the side of this carton, because this product may not work for you • you have no family history of hair loss • your hair loss is sudden and/or patchy • your hair loss is associated with childbirth • you do not know the reason for your hair loss • you are under 18 years of age. Do not use on babies and children. • your scalp is red, inflamed, infected, irritated, or painful • you use other medicines on the scalp Ask a doctor before use if you have heart disease When using this product • do not apply on other parts of the body • avoid contact with the eyes. In case of accidental contact, rinse eyes with large amounts of cool tap water. • some people have experienced changes in hair color and/or texture • it takes time to regrow hair. You may need to use this product 2 times a day for at least 4 months before you see results. • the amount of hair regrowth is different for each person. This product will not work for everyone. Stop use and ask a doctor if • chest pain, rapid heartbeat, faintness, or dizziness occurs • sudden, unexplained weight gain occurs • your hands or feet swell • scalp irritation or redness occurs • unwanted facial hair growth occurs • you do not see hair regrowth in 4 months May be harmful if used when pregnant or breast-feeding. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away. (1-800-222-1222)","Directions • apply one mL with dropper 2 times a day directly onto the scalp in the hair loss area • using more or more often will not improve results • continued use is necessary to increase and keep your hair regrowth, or hair loss will begin again","Inactive ingredients alcohol, propylene glycol, purified water",20250812,3,minoxidil
